Review, Sentiment
"This movie was fantastic! Loved it.",positive
"Absolutely terrible. I would not recommend.",negative
"The cinematography was breathtaking, truly a masterpiece.",positive
"I found the plot to be predictable and dull.",negative
"An outstanding performance by the lead actor.",positive
"The special effects were laughable and outdated.",negative
"Such a heartwarming tale, I cried at the end.",positive
"The storyline was confusing and poorly executed.",negative
"A visual spectacle with a gripping narrative!",positive
"Terrible. Just terrible. Do not waste your time.",negative
